ad0,ad1,ad2,ad3,ad4,ad0_start_time,ad1_start_time,ad2_start_time,ad3_start_time,ad4_start_time,ad0_time_spent,ad1_time_spent,ad2_time_spent,ad3_time_spent,ad4_time_spent,cost,predicted_clicks
0,2,6,1,0,0.0,8.7,8.9,20.5,0.0,0.0,15.3,14.2,3.2,0.0,292.20000000000005,350023.79849759635
0,1,4,5,0,0.0,10.2,3.6,13.8,0.0,0.0,4.4,20.4,10.1,0.0,288.0,357181.29268305626
0,5,0,6,0,0.0,2.3,0.0,3.6,0.0,0.0,13.6,0.0,20.0,0.0,296.0,379479.1237392039
3,0,5,6,0,21.4,0.0,2.3,3.6,0.0,1.9,0.0,13.6,20.0,0.0,297.3,385537.1363063053
3,0,5,6,0,21.4,0.0,2.3,3.6,0.0,1.9,0.0,13.6,20.0,0.0,297.3,385537.1363063053
3,0,5,6,1,21.4,0.0,2.3,3.6,17.6,1.9,0.0,13.6,20.0,0.2,299.7,391886.9125618905
3,0,5,6,1,21.4,0.0,2.3,3.6,17.6,1.9,0.0,13.6,20.0,0.2,299.7,391886.9125618905
3,0,5,6,1,21.4,0.0,2.3,3.6,17.6,1.9,0.0,13.6,20.0,0.2,299.7,391886.9125618905
3,0,5,6,1,21.4,0.0,2.3,3.6,17.6,1.9,0.0,13.6,20.0,0.2,299.7,391886.9125618905
1,0,5,6,3,17.6,0.0,2.3,3.6,21.4,0.2,0.0,13.6,20.0,1.9,294.6,394840.5835205385
1,0,5,6,3,17.6,0.0,2.3,3.6,21.4,0.2,0.0,13.6,20.0,1.9,294.6,394840.5835205385
1,0,5,6,3,17.6,0.0,2.3,7.1,21.4,0.2,0.0,13.6,20.1,1.9,295.40000000000003,394984.84342941974
3,0,6,5,1,21.4,0.0,3.6,2.3,17.6,1.9,0.0,20.0,13.6,0.2,299.7,400645.68947159755
1,0,6,5,3,17.6,0.0,3.6,2.3,21.4,0.2,0.0,20.0,13.6,1.9,294.6,403599.3604302455
1,0,6,5,3,23.1,0.0,3.6,2.3,21.4,0.4,0.0,20.0,13.6,1.9,297.6,408663.24394861667
1,0,6,5,3,23.1,0.0,3.6,2.3,21.4,0.4,0.0,20.0,13.6,1.9,297.6,408663.24394861667
1,0,6,5,3,23.1,0.0,3.6,2.3,21.4,0.4,0.0,20.0,13.6,1.9,297.6,408663.24394861667
1,0,6,5,3,23.1,0.0,3.6,2.3,21.4,0.4,0.0,20.0,13.6,1.9,297.6,408663.24394861667
1,0,6,5,3,23.1,0.0,3.6,2.3,21.4,0.4,0.0,20.0,13.6,1.9,297.6,408663.24394861667
1,0,6,5,3,23.1,0.0,3.6,2.3,21.4,0.4,0.0,20.0,13.6,1.9,297.6,408663.24394861667
1,0,6,5,3,23.1,0.0,3.6,2.3,21.4,0.4,0.0,20.0,13.6,1.9,297.6,408663.24394861667
1,0,6,5,3,23.1,0.0,3.6,2.3,21.4,0.4,0.0,20.0,13.6,1.9,297.6,408663.24394861667
1,0,6,5,3,23.1,0.0,3.6,2.3,21.4,0.4,0.0,20.0,13.6,1.9,297.6,408663.24394861667
1,0,6,5,3,23.1,0.0,3.6,2.3,21.4,0.4,0.0,20.0,13.6,1.9,297.6,408663.24394861667
1,0,6,5,3,23.1,0.0,3.6,2.3,21.4,0.4,0.0,20.0,13.6,1.9,297.6,408663.24394861667
1,0,6,5,3,23.1,0.0,3.6,2.3,21.4,0.4,0.0,20.0,13.6,1.9,297.6,408663.24394861667
1,0,6,5,3,23.1,0.0,3.6,2.3,21.4,0.4,0.0,20.0,13.6,1.9,297.6,408663.24394861667
1,0,6,5,3,23.1,0.0,3.6,2.3,21.4,0.4,0.0,20.0,13.6,1.9,297.6,408663.24394861667
1,0,6,5,3,23.1,0.0,3.6,2.3,23.9,0.4,0.0,20.0,13.6,1.9,297.6,410367.28151617927
1,0,6,5,3,23.1,0.0,3.6,2.3,23.9,0.4,0.0,20.0,13.6,1.9,297.6,410367.28151617927
1,0,6,5,3,23.1,0.0,3.6,2.3,23.9,0.4,0.0,20.0,13.6,1.9,297.6,410367.28151617927
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
1,0,6,5,3,23.1,0.0,3.6,2.3,22.6,0.4,0.0,20.0,13.6,2.1,300.0,411336.9329621283
